evidence_family,case_label,df_over_dp,gas_velocity_m_s,debris_diameter_um,particle_Re_superficial,stokes_drag_to_weight_recomputed,source_drag_to_weight_ratio,relative_difference_from_source,final_BTC,max_blockage_ratio,connectivity_loss,stokes_regime_note,model_boundary
drive_state,low_drive_no_breakthrough,0.025,1.0,25.0,0.2091836734693878,24.075851214924565,24.075851214924565,0.0,0.0,2.2084826555567843e-05,0.0,low-Re Stokes-scale forcing,"One-way Stokes-scale forcing audit only; no resolved pore-scale gas redistribution, no artificial drag multiplier and no pressure-calibrated transition claim."
drive_state,intermediate_drive_weak_breakthrough,0.0225,2.0,22.499999999999996,0.376530612244898,59.4465462096903,59.4465462096903,0.0,0.0183333333333333,1.0631993458219603e-05,0.0,low-Re Stokes-scale forcing,"One-way Stokes-scale forcing audit only; no resolved pore-scale gas redistribution, no artificial drag multiplier and no pressure-calibrated transition claim."
drive_state,high_drive_stronger_breakthrough,0.02,3.0,20.0,0.5020408163265306,112.85555256995889,112.85555256995887,1.2592074019922704e-16,0.082,2.7547872272570823e-05,0.0,low-Re Stokes-scale forcing,"One-way Stokes-scale forcing audit only; no resolved pore-scale gas redistribution, no artificial drag multiplier and no pressure-calibrated transition claim."
loading_state,N=3000,0.0225,2.0,22.499999999999996,0.376530612244898,59.4465462096903,,,0.0183333333333333,1.0631993458219603e-05,0.0,low-Re Stokes-scale forcing,"One-way Stokes-scale forcing audit only; no resolved pore-scale gas redistribution, no artificial drag multiplier and no pressure-calibrated transition claim."
loading_state,N=6000,0.0225,2.0,22.499999999999996,0.376530612244898,59.4465462096903,,,0.0141666666666666,2.083296015461943e-05,0.0,low-Re Stokes-scale forcing,"One-way Stokes-scale forcing audit only; no resolved pore-scale gas redistribution, no artificial drag multiplier and no pressure-calibrated transition claim."
loading_state,N=10000,0.0225,2.0,22.499999999999996,0.376530612244898,59.4465462096903,,,0.0156,3.54878700564896e-05,0.0,low-Re Stokes-scale forcing,"One-way Stokes-scale forcing audit only; no resolved pore-scale gas redistribution, no artificial drag multiplier and no pressure-calibrated transition claim."
localized_source_state,906,0.1,2.0,100.0,1.6734693877551023,3.0094814018655707,,,0.0,0.0,0.0,finite-Re correction may be relevant,"One-way Stokes-scale forcing audit only; no resolved pore-scale gas redistribution, no artificial drag multiplier and no pressure-calibrated transition claim."
localized_source_state,907,0.1,2.0,100.0,1.6734693877551023,3.0094814018655707,,,0.0,0.0,0.0,finite-Re correction may be relevant,"One-way Stokes-scale forcing audit only; no resolved pore-scale gas redistribution, no artificial drag multiplier and no pressure-calibrated transition claim."
localized_source_state,908,0.1,2.0,100.0,1.6734693877551023,3.0094814018655707,,,0.0,0.0,0.0,finite-Re correction may be relevant,"One-way Stokes-scale forcing audit only; no resolved pore-scale gas redistribution, no artificial drag multiplier and no pressure-calibrated transition claim."
