blockage_ratio,x_center,debris_total_number,case_label
3.1556176227631745e-08,0.001125,3000,N=3000
1.072909990851301e-07,0.0033749999999999,3000,N=3000
2.3982693919677445e-07,0.005625,3000,N=3000
8.961954043318343e-07,0.007875,3000,N=3000
3.218729973220036e-06,0.0101249999999999,3000,N=3000
5.932561127131031e-06,0.0123749999999999,3000,N=3000
2.669652507170106e-06,0.0146249999999999,3000,N=3000
6.879246413626916e-07,0.016875,3000,N=3000
4.922763487957837e-07,0.0191249999999999,3000,N=3000
4.922763487957837e-07,0.0213749999999999,3000,N=3000
4.922763487957837e-07,0.023625,3000,N=3000
4.7334264308140916e-07,0.0258749999999999,3000,N=3000
3.912965850227934e-07,0.0281249999999999,3000,N=3000
3.344954677686474e-07,0.030375,3000,N=3000
1.7671458674151097e-07,0.032625,3000,N=3000
1.2622470479950465e-07,0.0348749999999999,3000,N=3000
1.2622470479950465e-07,0.037125,3000,N=3000
1.388471753127618e-07,0.0393749999999999,3000,N=3000
8.83572933707555e-08,0.0416249999999999,3000,N=3000
7.447257585058153e-07,0.043875,3000,N=3000
4.4178646740888894e-08,0.001125,6000,N=6000
1.2622470479950465e-07,0.0033749999999999,6000,N=6000
5.680111717643044e-07,0.005625,6000,N=6000
1.7923908086636686e-06,0.007875,6000,N=6000
6.765644179007602e-06,0.0101249999999999,6000,N=6000
1.1524315551181274e-05,0.0123749999999999,6000,N=6000
5.332993779139095e-06,0.0146249999999999,6000,N=6000
1.457895340783999e-06,0.016875,6000,N=6000
1.211757166386107e-06,0.0191249999999999,6000,N=6000
9.593077566760757e-07,0.0213749999999999,6000,N=6000
9.908639329037072e-07,0.023625,6000,N=6000
9.340628157605836e-07,0.0258749999999999,6000,N=6000
7.068583470770662e-07,0.0281249999999999,6000,N=6000
6.311235241085456e-07,0.030375,6000,N=6000
3.5342917348302194e-07,0.032625,6000,N=6000
3.7867411450953625e-07,0.0348749999999999,6000,N=6000
2.650718801122665e-07,0.037125,6000,N=6000
2.524494097100316e-07,0.0393749999999999,6000,N=6000
2.082707629691427e-07,0.0416249999999999,6000,N=6000
1.52731892844038e-06,0.043875,6000,N=6000
6.94235876563809e-08,0.001125,10000,N=10000
3.408067030807871e-07,0.0033749999999999,10000,N=10000
6.563684651350599e-07,0.005625,10000,N=10000
3.0483266216796423e-06,0.007875,10000,N=10000
1.0533451618166543e-05,0.0101249999999999,10000,N=10000
1.9520650602178335e-05,0.0123749999999999,10000,N=10000
9.271204569838432e-06,0.0146249999999999,10000,N=10000
2.480315449915338e-06,0.016875,10000,N=10000
2.044840218262678e-06,0.0191249999999999,10000,N=10000
1.565186339869129e-06,0.0213749999999999,10000,N=10000
1.5714975751812688e-06,0.023625,10000,N=10000
1.375849282614361e-06,0.0258749999999999,10000,N=10000
9.52996521474958e-07,0.0281249999999999,10000,N=10000
1.0097976386180818e-06,0.030375,10000,N=10000
7.636594642201899e-07,0.032625,10000,N=10000
5.680111717643044e-07,0.0348749999999999,10000,N=10000
4.2916399645154257e-07,0.037125,10000,N=10000
3.912965850227934e-07,0.0393749999999999,10000,N=10000
3.344954677686474e-07,0.0416249999999999,10000,N=10000
2.644407566254614e-06,0.043875,10000,N=10000
